12345, John Doe, 1, 10, A, A-, /assignments/12345_assignment.pdf, john.doe@email.com
67890, Jane Smith, 2, 9, B, B+, /assignments/67890_assignment.pdf, jane.smith@email.com
13579, Michael Johnson, 3, 11, C, C, /assignments/13579_assignment.pdf, michael.johnson@email.com
24680, Sarah Williams, 4, 8, D, B-, /assignments/24680_assignment.pdf, sarah.williams@email.com
54321, David Miller, 5, 12, A, A+, /assignments/54321_assignment.pdf, david.miller@email.com
98765, Emily Davis, 6, 7, B, B-, /assignments/98765_assignment.pdf, emily.davis@email.com
11223, Kevin Brown, 7, 10, C, C+, /assignments/11223_assignment.pdf, kevin.brown@email.com
33445, Olivia White, 8, 9, D, D, /assignments/33445_assignment.pdf, olivia.white@email.com
55667, Christopher Lee, 9, 11, A, A, /assignments/55667_assignment.pdf, christopher.lee@email.com
77889, Jessica Taylor, 10, 8, B, B, /assignments/77889_assignment.pdf, jessica.taylor@email.com
